start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
1746941527.321397,1746941527.730541,Stop,1746941527.731563,1746941527.931563,0.40914,0.201,31.84
1746941527.754293,1746941527.814751,Stop,1746941527.814751,1746941528.014751,0.06046,0.200,2.31
1746941527.845427,1746941527.908298,Stop,1746941527.909333,1746941528.109333,0.06287,0.201,10.87
1746941527.940543,1746941527.997581,Stop,1746941527.997581,1746941528.197582,0.05704,0.200,10.53
1746941528.032984,1746941528.225784,Stop,1746941528.225784,1746941528.425784,0.19280,0.200,10.71
1746941528.249775,1746941528.305990,Stop,1746941528.305990,1746941528.505990,0.05622,0.200,4.62
1746941528.342992,1746941528.399477,Stop,1746941528.399477,1746941528.599477,0.05648,0.200,10.74
1746941528.420411,1746941528.475690,Stop,1746941528.475690,1746941528.675690,0.05528,0.200,12.98
1746941528.496630,1746941528.551337,Stop,1746941528.551337,1746941528.751337,0.05471,0.200,12.94
1746941528.575030,1746941528.633317,Stop,1746941528.633317,1746941528.833317,0.05829,0.200,12.87
1746941528.667589,1746941528.719741,Stop,1746941528.719741,1746941528.919741,0.05215,0.200,10.85
1746941528.743253,1746941528.794351,Stop,1746941528.794351,1746941528.994351,0.05110,0.200,13.11
1746941528.819589,1746941528.870388,Stop,1746941528.870388,1746941529.070388,0.05080,0.200,13.03
1746941528.896906,1746941528.948780,Stop,1746941528.948780,1746941529.148780,0.05187,0.200,13.01
1746941528.973766,1746941529.023558,Stop,1746941529.024568,1746941529.224568,0.04979,0.201,13.10
1746941529.051075,1746941529.104495,Stop,1746941529.104495,1746941529.304495,0.05342,0.200,12.85
1746941529.127954,1746941529.182932,Stop,1746941529.182932,1746941529.382932,0.05498,0.200,13.01
1746941529.203546,1746941529.254951,Stop,1746941529.254951,1746941529.454951,0.05141,0.200,13.16
1746941529.282061,1746941529.336518,Stop,1746941529.336518,1746941529.536518,0.05446,0.200,12.81
1746941529.358393,1746941529.410504,Stop,1746941529.410504,1746941529.610504,0.05211,0.200,12.99
1746941529.436143,1746941529.487117,Stop,1746941529.487117,1746941529.687117,0.05097,0.200,12.96
1746941529.511935,1746941529.563596,Stop,1746941529.563596,1746941529.763596,0.05166,0.200,13.04
1746941529.589469,1746941529.639959,Stop,1746941529.639959,1746941529.839959,0.05049,0.200,12.92
1746941529.667459,1746941529.721679,Stop,1746941529.721679,1746941529.921679,0.05422,0.200,12.95
1746941529.743949,1746941529.795001,Stop,1746941529.796041,1746941529.996041,0.05105,0.201,13.10
1746941529.822808,1746941529.873509,Stop,1746941529.873509,1746941530.073509,0.05070,0.200,12.65
1746941529.899619,1746941529.951170,Stop,1746941529.951170,1746941530.151170,0.05155,0.200,12.94
1746941529.978483,1746941530.029388,Stop,1746941530.029388,1746941530.229388,0.05090,0.200,12.84
