start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
19:26:50.548,19:26:50.959,Stop,19:26:50.959,0.41161,32.36
19:26:50.984,19:26:51.045,Stop,19:26:51.045,0.06136,2.30
19:26:51.075,19:26:51.136,Stop,19:26:51.136,0.06033,10.69
19:26:51.170,19:26:51.231,Stop,19:26:51.231,0.06162,10.71
19:26:51.266,19:26:51.330,Stop,19:26:51.330,0.06407,10.86
19:26:51.354,19:26:51.407,Stop,19:26:51.408,0.05376,10.75
19:26:51.591,19:26:51.650,Stop,19:26:51.650,0.05842,4.23
19:26:51.674,19:26:51.736,Stop,19:26:51.736,0.06192,12.18
19:26:51.765,19:26:51.954,Stop,19:26:51.954,0.18897,10.80
19:26:51.982,19:26:52.037,Stop,19:26:52.038,0.05459,4.62
19:26:52.059,19:26:52.112,Stop,19:26:52.114,0.05387,12.96
19:26:52.136,19:26:52.189,Stop,19:26:52.189,0.05302,12.81
19:26:52.216,19:26:52.287,Stop,19:26:52.288,0.07132,12.95
19:26:52.325,19:26:52.383,Stop,19:26:52.384,0.05835,9.22
19:26:52.411,19:26:52.471,Stop,19:26:52.471,0.06043,11.58
19:26:52.493,19:26:52.560,Stop,19:26:52.560,0.06781,12.12
19:26:52.589,19:26:52.656,Stop,19:26:52.657,0.06699,10.50
19:26:52.681,19:26:52.740,Stop,19:26:52.742,0.05901,10.62
19:26:52.774,19:26:52.835,Stop,19:26:52.835,0.06101,10.69
19:26:52.868,19:26:52.928,Stop,19:26:52.928,0.06083,10.72
19:26:52.960,19:26:53.022,Stop,19:26:53.022,0.06161,10.83
19:26:53.053,19:26:53.107,Stop,19:26:53.107,0.05327,10.69
19:26:53.132,19:26:53.197,Stop,19:26:53.197,0.06487,12.79
19:26:53.225,19:26:53.278,Stop,19:26:53.278,0.05379,10.89
19:26:53.300,19:26:53.356,Stop,19:26:53.356,0.05546,12.92
19:26:53.378,19:26:53.433,Stop,19:26:53.433,0.05443,12.91
19:26:53.455,19:26:53.507,Stop,19:26:53.507,0.05193,13.09
19:26:53.535,19:26:53.588,Stop,19:26:53.588,0.05368,12.78
19:26:53.610,19:26:53.668,Stop,19:26:53.668,0.05706,12.83
19:26:53.688,19:26:53.740,Stop,19:26:53.741,0.05262,12.97
19:26:53.766,19:26:53.818,Stop,19:26:53.818,0.05253,12.90
19:26:53.845,19:26:53.897,Stop,19:26:53.898,0.05217,12.76
19:26:53.923,19:26:53.976,Stop,19:26:53.976,0.05385,12.82
19:26:53.998,19:26:54.052,Stop,19:26:54.052,0.05344,13.16
19:26:54.075,19:26:54.129,Stop,19:26:54.129,0.05373,12.87
19:26:54.154,19:26:54.207,Stop,19:26:54.207,0.05310,12.71
19:26:54.232,19:26:54.283,Stop,19:26:54.283,0.05135,12.83
19:26:54.310,19:26:54.366,Stop,19:26:54.366,0.05514,12.86
19:26:54.389,19:26:54.441,Stop,19:26:54.441,0.05203,12.79
19:26:54.465,19:26:54.518,Maju,19:26:54.518,0.05313,13.04
19:26:54.543,19:26:54.595,Kiri,19:26:54.595,0.05197,12.87
19:26:54.621,19:26:54.679,Kiri,19:26:54.679,0.05861,12.96
19:26:54.711,19:26:54.766,Kiri,19:26:54.766,0.05537,10.93
19:26:54.788,19:26:54.842,Kiri,19:26:54.842,0.05367,13.02
19:26:54.866,19:26:54.922,Kiri,19:26:54.922,0.05675,12.75
19:26:54.945,19:26:54.998,Kiri,19:26:54.998,0.05294,12.83
19:26:55.024,19:26:55.079,Kiri,19:26:55.079,0.05497,12.74
19:26:55.100,19:26:55.156,Kiri,19:26:55.156,0.05625,12.88
19:26:55.178,19:26:55.230,Kiri,19:26:55.230,0.05211,12.97
19:26:55.256,19:26:55.307,Kiri,19:26:55.307,0.05136,12.76
19:26:55.334,19:26:55.390,Maju,19:26:55.390,0.05585,12.79
19:26:55.412,19:26:55.472,Kanan,19:26:55.473,0.06072,12.93
19:26:55.507,19:26:55.568,Kanan,19:26:55.568,0.06075,10.76
19:26:55.598,19:26:55.651,Kanan,19:26:55.652,0.05289,10.68
19:26:55.675,19:26:55.735,Kanan,19:26:55.735,0.05962,12.82
19:26:55.770,19:26:55.822,Kanan,19:26:55.822,0.05264,10.74
19:26:55.846,19:26:55.900,Kiri,19:26:55.900,0.05390,12.98
19:26:55.925,19:26:55.975,Kiri,19:26:55.975,0.05080,12.78
19:26:56.002,19:26:56.055,Kiri,19:26:56.056,0.05258,12.98
19:26:56.080,19:26:56.134,Mundur,19:26:56.135,0.05363,12.77
19:26:56.157,19:26:56.209,Mundur,19:26:56.209,0.05249,13.00
19:26:56.237,19:26:56.290,Mundur,19:26:56.290,0.05355,12.56
19:26:56.312,19:26:56.365,Mundur,19:26:56.365,0.05304,13.19
19:26:56.390,19:26:56.445,Mundur,19:26:56.445,0.05439,12.85
19:26:56.466,19:26:56.525,Mundur,19:26:56.525,0.05895,13.00
19:26:56.560,19:26:56.614,Mundur,19:26:56.614,0.05360,10.71
19:26:56.636,19:26:56.692,Maju,19:26:56.692,0.05589,13.07
19:26:56.714,19:26:56.768,Maju,19:26:56.768,0.05361,12.80
19:26:56.793,19:26:56.850,Maju,19:26:56.850,0.05698,12.83
19:26:56.872,19:26:56.926,Maju,19:26:56.926,0.05382,12.81
19:26:56.947,19:26:57.001,Maju,19:26:57.001,0.05441,12.98
