start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps,confidence
20:03:51.298,20:03:51.850,Stop,20:03:51.850,0.55200,33.45,0.98671
20:03:51.880,20:03:51.936,Stop,20:03:51.936,0.05539,1.72,0.99480
20:03:51.957,20:03:52.015,Stop,20:03:52.015,0.05725,12.97,0.94141
20:03:52.035,20:03:52.091,Stop,20:03:52.091,0.05600,12.71,0.63486
20:03:52.113,20:03:52.165,Maju,20:03:52.165,0.05264,12.91,0.62162
20:03:52.191,20:03:52.243,Maju,20:03:52.244,0.05215,12.82,0.66957
20:03:52.268,20:03:52.321,Maju,20:03:52.321,0.05343,13.10,0.70398
20:03:52.344,20:03:52.397,Maju,20:03:52.397,0.05287,12.98,0.75607
20:03:52.420,20:03:52.475,Maju,20:03:52.475,0.05522,13.09,0.80330
20:03:52.497,20:03:52.549,Maju,20:03:52.550,0.05116,12.95,0.84535
20:03:52.574,20:03:52.626,Maju,20:03:52.627,0.05194,13.05,0.88731
20:03:52.652,20:03:52.704,Maju,20:03:52.704,0.05220,12.85,0.89475
20:03:52.730,20:03:52.783,Maju,20:03:52.783,0.05341,12.82,0.90322
20:03:52.808,20:03:52.859,Maju,20:03:52.859,0.05147,12.82,0.90428
20:03:52.885,20:03:52.937,Maju,20:03:52.937,0.05191,12.98,0.90324
20:03:52.962,20:03:53.013,Maju,20:03:53.013,0.05162,13.14,0.90311
20:03:53.039,20:03:53.091,Maju,20:03:53.091,0.05216,12.94,0.90938
20:03:53.116,20:03:53.168,Maju,20:03:53.170,0.05282,12.79,0.91323
20:03:53.195,20:03:53.246,Maju,20:03:53.247,0.05152,12.84,0.89289
20:03:53.271,20:03:53.324,Maju,20:03:53.324,0.05329,13.00,0.82669
20:03:53.349,20:03:53.402,Maju,20:03:53.402,0.05367,12.90,0.54947
20:03:53.425,20:03:53.477,Kiri,20:03:53.477,0.05225,13.13,0.45509
20:03:53.505,20:03:53.559,Kiri,20:03:53.559,0.05427,12.71,0.90595
20:03:53.583,20:03:53.635,Kiri,20:03:53.635,0.05254,12.70,0.98848
20:03:53.659,20:03:53.711,Kiri,20:03:53.712,0.05155,12.82,0.99573
20:03:53.738,20:03:53.789,Kiri,20:03:53.789,0.05120,12.98,0.99753
20:03:53.815,20:03:53.867,Kiri,20:03:53.867,0.05169,12.90,0.99826
20:03:53.890,20:03:53.944,Kiri,20:03:53.944,0.05384,13.25,0.99846
20:03:53.968,20:03:54.021,Kiri,20:03:54.021,0.05251,12.91,0.99856
20:03:54.044,20:03:54.096,Kiri,20:03:54.096,0.05169,13.17,0.99858
20:03:54.171,20:03:54.223,Kiri,20:03:54.223,0.05242,31.05,0.99851
20:03:54.246,20:03:54.298,Kiri,20:03:54.298,0.05277,10.87,0.99857
20:03:54.325,20:03:54.382,Kiri,20:03:54.382,0.05711,12.75,0.99843
20:03:54.417,20:03:54.469,Kiri,20:03:54.469,0.05189,10.80,0.99786
20:03:54.495,20:03:54.547,Kiri,20:03:54.547,0.05174,12.89,0.99257
20:03:54.572,20:03:54.623,Kiri,20:03:54.623,0.05117,12.93,0.46596
20:03:54.650,20:03:54.702,Kanan,20:03:54.702,0.05190,12.86,0.99149
20:03:54.727,20:03:54.780,Kanan,20:03:54.780,0.05310,13.07,0.99952
20:03:54.804,20:03:54.856,Kanan,20:03:54.856,0.05135,12.84,0.99977
20:03:54.880,20:03:54.931,Kanan,20:03:54.931,0.05090,13.06,0.99982
20:03:54.958,20:03:55.010,Kanan,20:03:55.010,0.05211,12.92,0.99982
20:03:55.038,20:03:55.090,Kanan,20:03:55.090,0.05203,12.64,0.99982
20:03:55.114,20:03:55.166,Kanan,20:03:55.166,0.05194,13.05,0.99982
20:03:55.191,20:03:55.246,Kanan,20:03:55.248,0.05530,12.96,0.99979
20:03:55.270,20:03:55.323,Kanan,20:03:55.323,0.05323,12.80,0.99957
20:03:55.346,20:03:55.396,Kanan,20:03:55.397,0.05060,13.02,0.99647
20:03:55.425,20:03:55.477,Kanan,20:03:55.477,0.05158,12.65,0.84139
20:03:55.502,20:03:55.553,Mundur,20:03:55.553,0.05050,12.98,0.84712
20:03:55.579,20:03:55.630,Mundur,20:03:55.630,0.05140,13.01,0.99107
20:03:55.656,20:03:55.709,Mundur,20:03:55.710,0.05229,12.91,0.99696
20:03:55.734,20:03:55.786,Mundur,20:03:55.786,0.05223,12.92,0.99771
20:03:55.813,20:03:55.865,Mundur,20:03:55.865,0.05163,12.64,0.99796
20:03:55.888,20:03:55.943,Mundur,20:03:55.943,0.05475,13.15,0.99802
20:03:55.965,20:03:56.018,Mundur,20:03:56.018,0.05213,12.94,0.99805
20:03:56.045,20:03:56.098,Mundur,20:03:56.098,0.05224,12.74,0.99791
20:03:56.123,20:03:56.173,Mundur,20:03:56.173,0.05015,12.75,0.99795
20:03:56.201,20:03:56.255,Mundur,20:03:56.256,0.05345,12.82,0.99567
20:03:56.279,20:03:56.332,Mundur,20:03:56.332,0.05271,12.96,0.92130
20:03:56.355,20:03:56.430,Mundur,20:03:56.431,0.07487,12.91,0.47991
20:03:56.465,20:03:56.518,Maju,20:03:56.518,0.05266,9.16,0.87440
20:03:56.543,20:03:56.596,Maju,20:03:56.596,0.05306,12.80,0.96186
20:03:56.621,20:03:56.673,Maju,20:03:56.673,0.05265,12.91,0.94211
20:03:56.699,20:03:56.750,Maju,20:03:56.750,0.05113,12.85,0.77629
20:03:56.775,20:03:56.829,Kiri,20:03:56.829,0.05352,12.90,0.43796
20:03:56.854,20:03:56.907,Stop,20:03:56.907,0.05311,12.87,0.70433
20:03:56.931,20:03:56.984,Stop,20:03:56.984,0.05224,12.86,0.99854
20:03:57.010,20:03:57.061,Stop,20:03:57.061,0.05147,12.83,0.99876
20:03:57.087,20:03:57.140,Stop,20:03:57.140,0.05235,12.90,0.99870
