start_gesture_time,end_gesture_time,gesture_detected,confidence_score,send_time,inference_time,fps,model_name
20:39:02.744,20:39:03.316,Maju,0.99809,20:39:03.316,0.57231,32.77,gesture_recognition_model_var2.h5
20:39:03.345,20:39:03.398,Maju,0.99761,20:39:03.399,0.05364,1.66,gesture_recognition_model_var2.h5
20:39:03.421,20:39:03.474,Maju,0.99727,20:39:03.475,0.05287,13.17,gesture_recognition_model_var2.h5
20:39:03.496,20:39:03.550,Maju,0.99701,20:39:03.551,0.05353,13.09,gesture_recognition_model_var2.h5
20:39:03.574,20:39:03.627,Maju,0.99669,20:39:03.627,0.05253,13.05,gesture_recognition_model_var2.h5
20:39:03.651,20:39:03.709,Maju,0.99654,20:39:03.709,0.05834,12.94,gesture_recognition_model_var2.h5
20:39:03.744,20:39:03.796,Maju,0.99632,20:39:03.796,0.05196,10.88,gesture_recognition_model_var2.h5
20:39:03.821,20:39:03.875,Maju,0.99526,20:39:03.875,0.05432,12.84,gesture_recognition_model_var2.h5
20:39:03.898,20:39:03.952,Maju,0.99177,20:39:03.952,0.05327,12.99,gesture_recognition_model_var2.h5
20:39:03.976,20:39:04.031,Maju,0.94440,20:39:04.031,0.05538,12.88,gesture_recognition_model_var2.h5
20:39:04.052,20:39:04.105,Kiri,0.65466,20:39:04.105,0.05321,13.11,gesture_recognition_model_var2.h5
20:39:04.130,20:39:04.183,Kiri,0.98040,20:39:04.183,0.05276,12.97,gesture_recognition_model_var2.h5
20:39:04.206,20:39:04.261,Kiri,0.99462,20:39:04.261,0.05434,12.80,gesture_recognition_model_var2.h5
20:39:04.285,20:39:04.337,Kiri,0.99678,20:39:04.337,0.05265,12.91,gesture_recognition_model_var2.h5
20:39:04.361,20:39:04.413,Kiri,0.99768,20:39:04.414,0.05242,12.96,gesture_recognition_model_var2.h5
20:39:04.441,20:39:04.492,Kiri,0.99820,20:39:04.492,0.05141,12.78,gesture_recognition_model_var2.h5
20:39:04.517,20:39:04.571,Kiri,0.99827,20:39:04.571,0.05377,12.99,gesture_recognition_model_var2.h5
20:39:04.593,20:39:04.646,Kiri,0.99814,20:39:04.647,0.05348,13.11,gesture_recognition_model_var2.h5
20:39:04.671,20:39:04.723,Kiri,0.99795,20:39:04.724,0.05246,12.95,gesture_recognition_model_var2.h5
20:39:04.747,20:39:04.800,Kiri,0.99769,20:39:04.800,0.05225,13.07,gesture_recognition_model_var2.h5
20:39:04.825,20:39:04.878,Kiri,0.99762,20:39:04.878,0.05341,12.96,gesture_recognition_model_var2.h5
20:39:04.901,20:39:04.957,Kiri,0.99782,20:39:04.957,0.05605,12.95,gesture_recognition_model_var2.h5
20:39:04.980,20:39:05.033,Kiri,0.99805,20:39:05.034,0.05335,12.71,gesture_recognition_model_var2.h5
20:39:05.196,20:39:05.246,Kiri,0.99832,20:39:05.246,0.05070,24.31,gesture_recognition_model_var2.h5
20:39:05.276,20:39:05.327,Kiri,0.99837,20:39:05.327,0.05141,10.75,gesture_recognition_model_var2.h5
20:39:05.906,20:39:05.957,Kiri,0.99839,20:39:05.957,0.05044,21.47,gesture_recognition_model_var2.h5
20:39:06.074,20:39:06.124,Kiri,0.99835,20:39:06.125,0.05042,21.60,gesture_recognition_model_var2.h5
20:39:06.427,20:39:06.478,Kiri,0.99846,20:39:06.478,0.05053,22.02,gesture_recognition_model_var2.h5
20:39:06.505,20:39:06.558,Kiri,0.99860,20:39:06.558,0.05261,10.67,gesture_recognition_model_var2.h5
20:39:06.582,20:39:06.634,Kiri,0.99870,20:39:06.634,0.05189,13.04,gesture_recognition_model_var2.h5
20:39:06.659,20:39:06.712,Kiri,0.99878,20:39:06.712,0.05292,12.92,gesture_recognition_model_var2.h5
20:39:06.738,20:39:06.790,Kiri,0.99876,20:39:06.791,0.05152,12.77,gesture_recognition_model_var2.h5
