start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
16:39:49.540,16:39:49.840,Maju,Maju,True,16:39:49.840,0.29930,33.97
16:39:50.063,16:39:50.121,Maju,Maju,True,16:39:50.121,0.05807,10.70
16:39:50.339,16:39:50.402,Maju,Maju,True,16:39:50.402,0.06300,10.96
16:39:50.523,16:39:50.718,Maju,Maju,True,16:39:50.718,0.19526,10.83
16:39:50.915,16:39:50.970,Maju,Maju,True,16:39:50.970,0.05490,11.48
16:39:51.150,16:39:51.203,Maju,Maju,True,16:39:51.203,0.05294,13.10
16:39:51.382,16:39:51.432,Maju,Maju,True,16:39:51.432,0.05023,13.14
16:39:51.611,16:39:51.665,Maju,Maju,True,16:39:51.665,0.05358,13.05
16:39:51.842,16:39:51.893,Maju,Maju,True,16:39:51.894,0.05030,13.03
16:39:52.072,16:39:52.122,Maju,Maju,True,16:39:52.123,0.04911,13.04
16:39:52.303,16:39:52.353,Maju,Maju,True,16:39:52.354,0.04972,13.04
16:39:52.532,16:39:52.586,Maju,Maju,True,16:39:52.587,0.05430,12.92
16:39:52.762,16:39:52.814,Maju,Maju,True,16:39:52.815,0.05223,13.07
16:39:52.992,16:39:53.041,Maju,Maju,True,16:39:53.042,0.04992,13.06
16:39:53.220,16:39:53.269,Maju,Maju,True,16:39:53.269,0.04982,13.14
16:39:53.449,16:39:53.502,Maju,Maju,True,16:39:53.502,0.05329,13.06
16:39:53.680,16:39:53.730,Maju,Maju,True,16:39:53.731,0.05021,13.04
16:39:53.909,16:39:53.959,Maju,Maju,True,16:39:53.959,0.04978,12.97
16:39:54.139,16:39:54.191,Maju,Maju,True,16:39:54.191,0.05179,13.14
16:39:54.368,16:39:54.420,Maju,Maju,True,16:39:54.421,0.05186,13.10
16:39:54.598,16:39:54.652,Maju,Maju,True,16:39:54.652,0.05391,13.08
16:39:54.841,16:39:54.890,Maju,Maju,True,16:39:54.891,0.04883,12.97
16:39:55.071,16:39:55.123,Maju,Maju,True,16:39:55.124,0.05180,13.02
16:39:55.299,16:39:55.352,Maju,Maju,True,16:39:55.352,0.05279,13.14
16:39:55.529,16:39:55.582,Maju,Maju,True,16:39:55.582,0.05272,13.09
16:39:55.759,16:39:55.809,Stop,Maju,False,16:39:55.810,0.04997,13.04
16:39:55.988,16:39:56.036,Maju,Maju,True,16:39:56.037,0.04869,13.12
16:39:56.217,16:39:56.269,Maju,Maju,True,16:39:56.269,0.05206,13.14
16:39:56.446,16:39:56.498,Maju,Maju,True,16:39:56.498,0.05194,13.10
16:39:56.676,16:39:56.730,Maju,Maju,True,16:39:56.730,0.05400,13.12
16:39:56.905,16:39:56.957,Maju,Maju,True,16:39:56.958,0.05126,13.00
16:39:57.136,16:39:57.187,Maju,Maju,True,16:39:57.187,0.05166,13.11
16:39:57.365,16:39:57.418,Maju,Maju,True,16:39:57.418,0.05277,13.01
16:39:57.594,16:39:57.644,Maju,Maju,True,16:39:57.644,0.05075,13.22
16:39:57.823,16:39:57.874,Maju,Maju,True,16:39:57.875,0.05118,12.86
16:39:58.054,16:39:58.108,Maju,Maju,True,16:39:58.108,0.05375,13.06
16:39:58.284,16:39:58.335,Maju,Maju,True,16:39:58.336,0.05074,13.00
16:39:58.516,16:39:58.567,Maju,Maju,True,16:39:58.568,0.05116,13.06
16:39:58.744,16:39:58.795,Mundur,Maju,False,16:39:58.795,0.05057,13.11
16:39:58.974,16:39:59.028,Stop,Maju,False,16:39:59.028,0.05374,13.08
16:39:59.206,16:39:59.257,Maju,Maju,True,16:39:59.257,0.05102,12.99
16:39:59.434,16:39:59.485,Maju,Maju,True,16:39:59.486,0.05087,13.04
16:39:59.664,16:39:59.717,Maju,Maju,True,16:39:59.717,0.05226,13.21
16:39:59.896,16:39:59.948,Stop,Maju,False,16:39:59.948,0.05273,12.99
16:40:00.124,16:40:00.175,Maju,Maju,True,16:40:00.175,0.05068,13.14
16:40:00.353,16:40:00.409,Maju,Maju,True,16:40:00.409,0.05534,13.31
16:40:00.599,16:40:00.650,Maju,Maju,True,16:40:00.650,0.05124,13.00
