start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps,confidence
20:35:57.028,20:35:57.320,Maju,Maju,True,20:35:57.320,0.29150,32.04,0.9337
20:35:57.538,20:35:57.597,Maju,Maju,True,20:35:57.598,0.05900,10.80,0.9689
20:35:57.815,20:35:57.872,Maju,Maju,True,20:35:57.872,0.05717,10.87,0.9686
20:35:57.908,20:35:58.097,Maju,Maju,True,20:35:58.097,0.18903,10.79,0.9687
20:35:58.310,20:35:58.369,Maju,Maju,True,20:35:58.369,0.05831,10.60,0.9702
20:35:58.591,20:35:58.647,Maju,Maju,True,20:35:58.647,0.05687,10.69,0.9706
20:35:58.870,20:35:58.926,Maju,Maju,True,20:35:58.927,0.05627,10.68,0.9707
20:35:59.147,20:35:59.204,Maju,Maju,True,20:35:59.205,0.05710,10.81,0.9706
20:35:59.413,20:35:59.473,Maju,Maju,True,20:35:59.473,0.05915,10.63,0.9706
20:35:59.689,20:35:59.749,Maju,Maju,True,20:35:59.750,0.05928,10.98,0.9707
20:35:59.968,20:36:00.027,Maju,Maju,True,20:36:00.028,0.05904,10.78,0.9708
20:36:00.247,20:36:00.308,Maju,Maju,True,20:36:00.308,0.06065,10.80,0.9707
20:36:00.525,20:36:00.584,Maju,Maju,True,20:36:00.584,0.05856,10.85,0.9704
20:36:00.805,20:36:00.865,Maju,Maju,True,20:36:00.866,0.05964,10.78,0.9702
20:36:01.085,20:36:01.143,Maju,Maju,True,20:36:01.144,0.05778,10.64,0.9702
20:36:01.361,20:36:01.424,Maju,Maju,True,20:36:01.424,0.06314,10.75,0.9700
20:36:01.640,20:36:01.708,Maju,Maju,True,20:36:01.708,0.06734,10.87,0.9695
20:36:01.843,20:36:01.910,Maju,Maju,True,20:36:01.910,0.06711,9.20,0.9688
20:36:02.059,20:36:02.127,Maju,Maju,True,20:36:02.128,0.06864,9.25,0.9683
20:36:02.276,20:36:02.344,Maju,Maju,True,20:36:02.344,0.06807,9.26,0.9679
20:36:02.492,20:36:02.560,Maju,Maju,True,20:36:02.561,0.06798,9.26,0.9682
20:36:02.708,20:36:02.779,Maju,Maju,True,20:36:02.780,0.07078,9.37,0.9687
20:36:02.924,20:36:02.995,Maju,Maju,True,20:36:02.995,0.07046,9.16,0.9692
20:36:03.141,20:36:03.210,Maju,Maju,True,20:36:03.210,0.06910,9.12,0.9694
20:36:03.357,20:36:03.425,Maju,Maju,True,20:36:03.426,0.06746,9.23,0.9696
20:36:03.572,20:36:03.639,Maju,Maju,True,20:36:03.640,0.06718,9.34,0.9698
20:36:03.790,20:36:03.858,Maju,Maju,True,20:36:03.858,0.06760,9.21,0.9699
20:36:04.005,20:36:04.076,Maju,Maju,True,20:36:04.077,0.07045,9.28,0.9697
20:36:04.222,20:36:04.288,Maju,Maju,True,20:36:04.289,0.06689,9.26,0.9698
20:36:04.436,20:36:04.503,Maju,Maju,True,20:36:04.504,0.06668,9.32,0.9700
20:36:04.652,20:36:04.722,Maju,Maju,True,20:36:04.722,0.06977,9.21,0.9701
20:36:04.869,20:36:04.934,Maju,Maju,True,20:36:04.935,0.06559,9.26,0.9702
20:36:05.068,20:36:05.134,Maju,Maju,True,20:36:05.135,0.06592,9.33,0.9705
20:36:05.284,20:36:05.351,Maju,Maju,True,20:36:05.351,0.06661,9.25,0.9705
20:36:05.580,20:36:05.646,Maju,Maju,True,20:36:05.647,0.06607,9.26,0.9705
20:36:05.795,20:36:05.862,Maju,Maju,True,20:36:05.863,0.06649,9.18,0.9705
20:36:06.011,20:36:06.077,Maju,Maju,True,20:36:06.077,0.06606,9.29,0.9703
20:36:06.212,20:36:06.277,Maju,Maju,True,20:36:06.278,0.06551,9.28,0.9702
20:36:06.415,20:36:06.483,Maju,Maju,True,20:36:06.483,0.06809,9.24,0.9695
20:36:06.708,20:36:06.774,Maju,Maju,True,20:36:06.774,0.06615,10.76,0.9693
20:36:06.987,20:36:07.053,Maju,Maju,True,20:36:07.054,0.06603,10.81,0.9690
20:36:07.190,20:36:07.263,Maju,Maju,True,20:36:07.263,0.07363,9.19,0.9690
20:36:07.484,20:36:07.550,Maju,Maju,True,20:36:07.550,0.06555,10.70,0.9696
20:36:07.757,20:36:07.810,Maju,Maju,True,20:36:07.810,0.05304,12.84,0.9698
20:36:07.991,20:36:08.041,Maju,Maju,True,20:36:08.042,0.05036,12.89,0.9697
20:36:08.222,20:36:08.272,Maju,Maju,True,20:36:08.272,0.05026,12.95,0.9699
20:36:08.453,20:36:08.502,Maju,Maju,True,20:36:08.503,0.04902,12.93,0.9703
20:36:08.685,20:36:08.735,Maju,Maju,True,20:36:08.735,0.05018,13.11,0.9705
20:36:08.916,20:36:08.967,Maju,Maju,True,20:36:08.967,0.05101,13.03,0.9705
20:36:09.149,20:36:09.200,Maju,Maju,True,20:36:09.200,0.05065,13.11,0.9706
20:36:13.297,20:36:13.354,Mundur,Mundur,True,20:36:13.354,0.05640,12.99,0.9803
20:36:13.530,20:36:13.581,Mundur,Mundur,True,20:36:13.581,0.05099,13.01,0.9803
20:36:13.761,20:36:13.811,Mundur,Mundur,True,20:36:13.812,0.04986,13.07,0.9804
20:36:13.993,20:36:14.043,Mundur,Mundur,True,20:36:14.043,0.04985,12.99,0.9805
20:36:14.225,20:36:14.276,Mundur,Mundur,True,20:36:14.277,0.05136,12.80,0.9805
20:36:14.456,20:36:14.505,Mundur,Mundur,True,20:36:14.505,0.04875,13.16,0.9806
20:36:14.690,20:36:14.740,Mundur,Mundur,True,20:36:14.740,0.04988,13.01,0.9805
20:36:14.921,20:36:14.971,Mundur,Mundur,True,20:36:14.971,0.04977,13.00,0.9806
20:36:15.153,20:36:15.203,Mundur,Mundur,True,20:36:15.204,0.05035,12.98,0.9807
20:36:15.385,20:36:15.437,Mundur,Mundur,True,20:36:15.438,0.05158,12.98,0.9807
20:36:15.618,20:36:15.668,Mundur,Mundur,True,20:36:15.669,0.04982,13.06,0.9807
